ConfAbbrev,Season,Last_ELO
a_sun,1998,1500.0
a_sun,1999,1500.0
a_sun,2000,1500.0
a_sun,2001,1500.0
a_sun,2002,1500.0
a_sun,2003,1500.0
a_sun,2004,1500.0
a_sun,2005,1500.0
a_sun,2006,1500.0
a_sun,2007,1500.0
a_sun,2008,1500.0
a_sun,2009,1500.0
a_sun,2010,1500.0
a_sun,2011,1500.0
a_sun,2012,1500.0
a_sun,2013,1500.0
a_sun,2014,1500.0
a_sun,2015,1500.0
a_sun,2016,1500.0
a_sun,2017,1500.0
a_sun,2018,1500.0
a_sun,2019,1500.0
a_sun,2020,1500.0
a_sun,2021,1500.0
a_sun,2022,1500.0
a_sun,2023,1500.0
a_sun,2024,1500.0
a_sun,2025,1500.0
a_ten,1998,1500.0
a_ten,1999,1500.0
a_ten,2000,1500.0
a_ten,2001,1500.0
a_ten,2002,1500.0
a_ten,2003,1500.0
a_ten,2004,1500.0
a_ten,2005,1500.0
a_ten,2006,1500.0
a_ten,2007,1500.0
a_ten,2008,1500.0
a_ten,2009,1500.0
a_ten,2010,1500.0
a_ten,2011,1500.0
a_ten,2012,1500.0
a_ten,2013,1500.0
a_ten,2014,1500.0
a_ten,2015,1500.0
a_ten,2016,1500.0
a_ten,2017,1500.0
a_ten,2018,1500.0
a_ten,2019,1500.0
a_ten,2020,1500.0
a_ten,2021,1500.0
a_ten,2022,1500.0
a_ten,2023,1500.0
a_ten,2024,1500.0
a_ten,2025,1500.0
aac,2014,1500.0
aac,2015,1500.0
aac,2016,1500.0
aac,2017,1500.0
aac,2018,1500.0
aac,2019,1500.0
aac,2020,1500.0
aac,2021,1500.0
aac,2022,1500.0
aac,2023,1500.0
aac,2024,1500.0
aac,2025,1500.0
acc,1998,1500.0
acc,1999,1500.0
acc,2000,1500.0
acc,2001,1500.0
acc,2002,1500.0
acc,2003,1500.0
acc,2004,1500.0
acc,2005,1500.0
acc,2006,1500.0
acc,2007,1500.0
acc,2008,1500.0
acc,2009,1500.0
acc,2010,1500.0
acc,2011,1500.0
acc,2012,1500.0
acc,2013,1500.0
acc,2014,1500.0
acc,2015,1500.0
acc,2016,1500.0
acc,2017,1500.0
acc,2018,1500.0
acc,2019,1500.0
acc,2020,1500.0
acc,2021,1500.0
acc,2022,1500.0
acc,2023,1500.0
acc,2024,1500.0
acc,2025,1500.0
aec,1998,1500.0
aec,1999,1500.0
aec,2000,1500.0
aec,2001,1500.0
aec,2002,1500.0
aec,2003,1500.0
aec,2004,1500.0
aec,2005,1500.0
aec,2006,1500.0
aec,2007,1500.0
aec,2008,1500.0
aec,2009,1500.0
aec,2010,1500.0
aec,2011,1500.0
aec,2012,1500.0
aec,2013,1500.0
aec,2014,1500.0
aec,2015,1500.0
aec,2016,1500.0
aec,2017,1500.0
aec,2018,1500.0
aec,2019,1500.0
aec,2020,1500.0
aec,2021,1500.0
aec,2022,1500.0
aec,2023,1500.0
aec,2024,1500.0
aec,2025,1500.0
big_east,1998,1500.0
big_east,1999,1500.0
big_east,2000,1500.0
big_east,2001,1500.0
big_east,2002,1500.0
big_east,2003,1500.0
big_east,2004,1500.0
big_east,2005,1500.0
big_east,2006,1500.0
big_east,2007,1500.0
big_east,2008,1500.0
big_east,2009,1500.0
big_east,2010,1500.0
big_east,2011,1500.0
big_east,2012,1500.0
big_east,2013,1500.0
big_east,2014,1500.0
big_east,2015,1500.0
big_east,2016,1500.0
big_east,2017,1500.0
big_east,2018,1500.0
big_east,2019,1500.0
big_east,2020,1500.0
big_east,2021,1500.0
big_east,2022,1500.0
big_east,2023,1500.0
big_east,2024,1500.0
big_east,2025,1500.0
big_sky,1998,1500.0
big_sky,1999,1500.0
big_sky,2000,1500.0
big_sky,2001,1500.0
big_sky,2002,1500.0
big_sky,2003,1500.0
big_sky,2004,1500.0
big_sky,2005,1500.0
big_sky,2006,1500.0
big_sky,2007,1500.0
big_sky,2008,1500.0
big_sky,2009,1500.0
big_sky,2010,1500.0
big_sky,2011,1500.0
big_sky,2012,1500.0
big_sky,2013,1500.0
big_sky,2014,1500.0
big_sky,2015,1500.0
big_sky,2016,1500.0
big_sky,2017,1500.0
